IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SA_0000001786,"13-15-years old any alcoholic beverage consumed in past 30 days, (%)",numeric,AFR,Africa,Country,SLE,Sierra Leone,Year,2017,true,Sex,Both sexes,BTSX,,,,,,,SA_0000001786_SLE,Data source,,10.1,,,,,,10.1,,,EN,2018-10-24T22:00:00.000Z
SA_0000001786,"13-15-years old any alcoholic beverage consumed in past 30 days, (%)",numeric,WPR,Western Pacific,Country,TON,Tonga,Year,2017,true,Sex,Both sexes,BTSX,,,,,,,SA_0000001786_TON,Data source,,10.4,,,,,,10.4,,,EN,2018-10-24T22:00:00.000Z
SA_0000001786,"13-15-years old any alcoholic beverage consumed in past 30 days, (%)",numeric,AFR,Africa,Country,SLE,Sierra Leone,Year,2017,true,Sex,Male,MLE,,,,,,,SA_0000001786_SLE,Data source,,11.5,,,,,,11.5,,,EN,2018-10-24T22:00:00.000Z
SA_0000001786,"13-15-years old any alcoholic beverage consumed in past 30 days, (%)",numeric,AFR,Africa,Country,LBR,Liberia,Year,2017,true,Sex,Female,FMLE,,,,,,,SA_0000001786_LBR,Data source,,11.7,,,,,,11.7,,,EN,2018-10-24T22:00:00.000Z
SA_0000001786,"13-15-years old any alcoholic beverage consumed in past 30 days, (%)",numeric,AFR,Africa,Country,LBR,Liberia,Year,2017,true,Sex,Both sexes,BTSX,,,,,,,SA_0000001786_LBR,Data source,,14.5,,,,,,14.5,,,EN,2018-10-24T22:00:00.000Z
SA_0000001786,"13-15-years old any alcoholic beverage consumed in past 30 days, (%)",numeric,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2017,true,Sex,Female,FMLE,,,,,,,SA_0000001786_LBN,Data source,,14.7,,,,,,14.7,,,EN,2018-10-24T22:00:00.000Z
SA_0000001786,"13-15-years old any alcoholic beverage consumed in past 30 days, (%)",numeric,WPR,Western Pacific,Country,TON,Tonga,Year,2017,true,Sex,Male,MLE,,,,,,,SA_0000001786_TON,Data source,,15.1,,,,,,15.1,,,EN,2018-10-24T22:00:00.000Z
SA_0000001786,"13-15-years old any alcoholic beverage consumed in past 30 days, (%)",numeric,AFR,Africa,Country,LBR,Liberia,Year,2017,true,Sex,Male,MLE,,,,,,,SA_0000001786_LBR,Data source,,16.4,,,,,,16.4,,,EN,2018-10-24T22:00:00.000Z
SA_0000001786,"13-15-years old any alcoholic beverage consumed in past 30 days, (%)",numeric,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2017,true,Sex,Both sexes,BTSX,,,,,,,SA_0000001786_LBN,Data source,,17.5,,,,,,17.5,,,EN,2018-10-24T22:00:00.000Z
SA_0000001786,"13-15-years old any alcoholic beverage consumed in past 30 days, (%)",numeric,AFR,Africa,Country,MUS,Mauritius,Year,2017,true,Sex,Male,MLE,,,,,,,SA_0000001786_MUS,Data source,,20.2,,,,,,20.2,,,EN,2018-10-24T22:00:00.000Z
SA_0000001786,"13-15-years old any alcoholic beverage consumed in past 30 days, (%)",numeric,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2017,true,Sex,Male,MLE,,,,,,,SA_0000001786_LBN,Data source,,20.6,,,,,,20.6,,,EN,2018-10-24T22:00:00.000Z
SA_0000001786,"13-15-years old any alcoholic beverage consumed in past 30 days, (%)",numeric,AFR,Africa,Country,MUS,Mauritius,Year,2017,true,Sex,Both sexes,BTSX,,,,,,,SA_0000001786_MUS,Data source,,21,,,,,,21,,,EN,2018-10-24T22:00:00.000Z
SA_0000001786,"13-15-years old any alcoholic beverage consumed in past 30 days, (%)",numeric,AFR,Africa,Country,MUS,Mauritius,Year,2017,true,Sex,Female,FMLE,,,,,,,SA_0000001786_MUS,Data source,,21.2,,,,,,21.2,,,EN,2018-10-24T22:00:00.000Z
SA_0000001786,"13-15-years old any alcoholic beverage consumed in past 30 days, (%)",numeric,AMR,Americas,Country,PRY,Paraguay,Year,2017,true,Sex,Male,MLE,,,,,,,SA_0000001786_PRY,Data source,,26.2,,,,,,26.2,,,EN,2018-10-24T22:00:00.000Z
