IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",numeric,WPR,Western Pacific,Country,COK,Cook Islands,Year,2016-2018,true,Sex,Both sexes,BTSX,,,,,,,,,,,,,,,,.,,,EN,2020-05-15T22:00:00.000Z
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",numeric,WPR,Western Pacific,Country,COK,Cook Islands,Year,2016-2018,true,Sex,Female,FMLE,,,,,,,,,,,,,,,,.,,,EN,2020-05-15T22:00:00.000Z
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",numeric,WPR,Western Pacific,Country,COK,Cook Islands,Year,2016-2018,true,Sex,Male,MLE,,,,,,,,,,,,,,,,.,,,EN,2020-05-15T22:00:00.000Z
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",numeric,WPR,Western Pacific,Country,MHL,Marshall Islands,Year,2016-2018,true,Sex,Both sexes,BTSX,,,,,,,,,,,,,,,,.,,,EN,2020-05-15T22:00:00.000Z
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",numeric,WPR,Western Pacific,Country,MHL,Marshall Islands,Year,2016-2018,true,Sex,Female,FMLE,,,,,,,,,,,,,,,,.,,,EN,2020-05-15T22:00:00.000Z
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",numeric,WPR,Western Pacific,Country,MHL,Marshall Islands,Year,2016-2018,true,Sex,Male,MLE,,,,,,,,,,,,,,,,.,,,EN,2020-05-15T22:00:00.000Z
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",numeric,EUR,Europe,Country,MCO,Monaco,Year,2016-2018,true,Sex,Both sexes,BTSX,,,,,,,,,,,,,,,,.,,,EN,2020-05-15T22:00:00.000Z
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",numeric,EUR,Europe,Country,MCO,Monaco,Year,2016-2018,true,Sex,Female,FMLE,,,,,,,,,,,,,,,,.,,,EN,2020-05-15T22:00:00.000Z
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",numeric,EUR,Europe,Country,MCO,Monaco,Year,2016-2018,true,Sex,Male,MLE,,,,,,,,,,,,,,,,.,,,EN,2020-05-15T22:00:00.000Z
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",numeric,WPR,Western Pacific,Country,PLW,Palau,Year,2016-2018,true,Sex,Both sexes,BTSX,,,,,,,,,,,,,,,,.,,,EN,2020-05-15T22:00:00.000Z
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",numeric,WPR,Western Pacific,Country,PLW,Palau,Year,2016-2018,true,Sex,Female,FMLE,,,,,,,,,,,,,,,,.,,,EN,2020-05-15T22:00:00.000Z
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",numeric,WPR,Western Pacific,Country,PLW,Palau,Year,2016-2018,true,Sex,Male,MLE,,,,,,,,,,,,,,,,.,,,EN,2020-05-15T22:00:00.000Z
