IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union by age 15 (%),numeric,EUR,Europe,Country,ALB,Albania,Year,2010-2017,true,,,,,,,,,,,,,0,,,,,,0,,"DHS 2008-09. Source: UNICEF global databases, 2018, based on Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other nationally representative surveys.",EN,2018-04-08T22:00:00.000Z
SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union by age 15 (%),numeric,AFR,Africa,Country,DZA,Algeria,Year,2010-2017,true,,,,,,,,,,,,,0,,,,,,0,,"MICS 2012-13. Source: UNICEF global databases, 2018, based on Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other nationally representative surveys.",EN,2018-04-08T22:00:00.000Z
SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union by age 15 (%),numeric,EUR,Europe,Country,ARM,Armenia,Year,2010-2017,true,,,,,,,,,,,,,0,,,,,,0,,"DHS 2015-16. Source: UNICEF global databases, 2018, based on Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other nationally representative surveys.",EN,2018-04-08T22:00:00.000Z
SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union by age 15 (%),numeric,EUR,Europe,Country,BLR,Belarus,Year,2010-2017,true,,,,,,,,,,,,,0,,,,,,0,,"MICS 2012. Source: UNICEF global databases, 2018, based on Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other nationally representative surveys.",EN,2018-04-08T22:00:00.000Z
SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union by age 15 (%),numeric,EUR,Europe,Country,BIH,Bosnia and Herzegovina,Year,2010-2017,true,,,,,,,,,,,,,0,,,,,,0,,"MICS 2011-12. Source: UNICEF global databases, 2018, based on Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other nationally representative surveys.",EN,2018-04-08T22:00:00.000Z
SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union by age 15 (%),numeric,EMR,Eastern Mediterranean,Country,JOR,Jordan,Year,2010-2017,true,,,,,,,,,,,,,0,,,,,,0,,"DHS 2012. Source: UNICEF global databases, 2018, based on Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other nationally representative surveys.",EN,2018-04-08T22:00:00.000Z
SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union by age 15 (%),numeric,EUR,Europe,Country,KAZ,Kazakhstan,Year,2010-2017,true,,,,,,,,,,,,,0,,,,,,0,,"MICS 2015. Source: UNICEF global databases, 2018, based on Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other nationally representative surveys.",EN,2018-04-08T22:00:00.000Z
SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union by age 15 (%),numeric,SEAR,South-East Asia,Country,MDV,Maldives,Year,2010-2017,true,,,,,,,,,,,,,0,,,,,,0,,"DHS 2009. Source: UNICEF global databases, 2018, based on Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other nationally representative surveys.",EN,2018-04-08T22:00:00.000Z
SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union by age 15 (%),numeric,WPR,Western Pacific,Country,MNG,Mongolia,Year,2010-2017,true,,,,,,,,,,,,,0,,,,,,0,,"MICS 2013. Source: UNICEF global databases, 2018, based on Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other nationally representative surveys.",EN,2018-04-08T22:00:00.000Z
SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union by age 15 (%),numeric,EMR,Eastern Mediterranean,Country,QAT,Qatar,Year,2010-2017,true,,,,,,,,,,,,,0,,,,,,0,,"MICS 2012. Source: UNICEF global databases, 2018, based on Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other nationally representative surveys.",EN,2018-04-08T22:00:00.000Z
SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union by age 15 (%),numeric,EUR,Europe,Country,MDA,Republic of Moldova,Year,2010-2017,true,,,,,,,,,,,,,0,,,,,,0,,"MICS 2012. Source: UNICEF global databases, 2018, based on Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other nationally representative surveys.",EN,2018-04-08T22:00:00.000Z
SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union by age 15 (%),numeric,AFR,Africa,Country,RWA,Rwanda,Year,2010-2017,true,,,,,,,,,,,,,0,,,,,,0,,"DHS 2014-15. Source: UNICEF global databases, 2018, based on Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other nationally representative surveys.",EN,2018-04-08T22:00:00.000Z
SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union by age 15 (%),numeric,EUR,Europe,Country,SRB,Serbia,Year,2010-2017,true,,,,,,,,,,,,,0,,,,,,0,,"MICS 2014. Source: UNICEF global databases, 2018, based on Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other nationally representative surveys.",EN,2018-04-08T22:00:00.000Z
SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union by age 15 (%),numeric,EUR,Europe,Country,TJK,Tajikistan,Year,2010-2017,true,,,,,,,,,,,,,0,,,,,,0,,"DHS 2012. Source: UNICEF global databases, 2018, based on Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other nationally representative surveys.",EN,2018-04-08T22:00:00.000Z
SP_DYN_MRBF15,Proportion of women aged 20-24 years who were married or in a union by age 15 (%),numeric,WPR,Western Pacific,Country,TON,Tonga,Year,2010-2017,true,,,,,,,,,,,,,0,,,,,,0,,"DHS 2012. Source: UNICEF global databases, 2018, based on Demographic and Health Surveys (DHS), Multiple Indicator Cluster Surveys (MICS) and other nationally representative surveys.",EN,2018-04-08T22:00:00.000Z
