IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
UV_1,UV radiation,numeric,EUR,Europe,Country,NOR,Norway,Year,2004,true,,,,,,,,,,,,,1439,,,,,,"1,439",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,FIN,Finland,Year,2004,true,,,,,,,,,,,,,1494,,,,,,"1,494",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,IRL,Ireland,Year,2004,true,,,,,,,,,,,,,1509,,,,,,"1,509",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2004,true,,,,,,,,,,,,,1576,,,,,,"1,576",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,SWE,Sweden,Year,2004,true,,,,,,,,,,,,,1587,,,,,,"1,587",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,BEL,Belgium,Year,2004,true,,,,,,,,,,,,,1645,,,,,,"1,645",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,NLD,Netherlands,Year,2004,true,,,,,,,,,,,,,1662,,,,,,"1,662",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,LVA,Latvia,Year,2004,true,,,,,,,,,,,,,1671,,,,,,"1,671",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,LUX,Luxembourg,Year,2004,true,,,,,,,,,,,,,1687,,,,,,"1,687",,,EN,2013-06-10T22:00:00.000Z
UV_1,UV radiation,numeric,EUR,Europe,Country,DNK,Denmark,Year,2004,true,,,,,,,,,,,,,1691,,,,,,"1,691",,,EN,2013-06-10T22:00:00.000Z
