"Location";"Suicide Rates Low";"Suicide Rates Medium-Low";"Suicide Rates Medium-High";"Suicide Rates High";"BMI Low";"BMI Medium-Low";"BMI Medium-High";"BMI High";"UV Radiation Low";"UV Radiation Medium-Low";"UV Radiation Medium-High";"UV Radiation High";"Nurses working in mental health sector Low";"Nurses working in mental health sector Medium-Low";"Nurses working in mental health sector Medium-High";"Nurses working in mental health sector High";"Adolescent birth rate Low";"Adolescent birth rate Medium-Low";"Adolescent birth rate Medium-High";"Adolescent birth rate High";"Alcohol  - young age Low";"Alcohol  - young age Medium-Low";"Alcohol  - young age Medium-High";"Alcohol  - young age High";"Alcohol Low";"Alcohol Medium-Low";"Alcohol Medium-High";"Alcohol High";"Tobacco Low";"Tobacco Medium-Low";"Tobacco Medium-High";"Tobacco High";"Government expeditures on mental health Low";"Government expeditures on mental health Medium-Low";"Government expeditures on mental health Medium-High";"Government expeditures on mental health High";"Psychiatrists working in mental health sector Low";"Psychiatrists working in mental health sector Medium-Low";"Psychiatrists working in mental health sector Medium-High";"Psychiatrists working in mental health sector High";"Mental hospital admissions Low";"Mental hospital admissions Medium-Low";"Mental hospital admissions Medium-High";"Mental hospital admissions High";"Out of pocket health-expenditures Low";"Out of pocket health-expenditures Medium-Low";"Out of pocket health-expenditures Medium-High";"Out of pocket health-expenditures High";"Raised Blood Pressure Low";"Raised Blood Pressure Medium-Low";"Raised Blood Pressure Medium-High";"Raised Blood Pressure High";"Social workers working in mental health sector Low ";"Social workers working in mental health sector Medium-Low";"Social workers working in mental health sector Medium-High";"Social workers working in mental health sector High";"Women married at a young age Low";"Women married at a young age Medium-Low";"Women married at a young age Medium-High";"Women married at a young age High"
"Afghanistan";"false";"true";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false"
"Albania";"true";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"true";"false";"true";"false";"false";"false"
"Algeria";"true";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false"
"Angola";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"true";"false"
"Antigua and Barbuda";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false"
"Argentina";"false";"true";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false"
"Armenia";"true";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"true";"false";"false";"true";"false";"false";"false"
"Australia";"false";"false";"true";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"true";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"true";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false"
"Austria";"false";"false";"true";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"false";"false"
"Azerbaijan";"true";"false";"false";"false";"false";"false";"true";"false";"true";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"false";"true";"false";"false";"false";"true";"false";"false";"true";"false";"false";"true";"false";"false";"false";"true";"false";"false"
