Location,Age-standardized suicide rates (per 100 000 population),Mean BMI (kg/m²) (age-standardized estimate),UV radiation,"Nurses working in mental health sector (per 100,000)",Adolescent birth rate (per 1000 women aged 15-19 years),"13-15-years old any alcoholic beverage consumed in past 30 days, (%)","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",Estimate of daily tobacco use prevalence (%),Government expenditures on mental health as a percentage of total government expenditures on health (%),"Psychiatrists working in mental health sector (per 100,000)","Mental hospital admissions (per 100,000)",Out-of-pocket expenditure as percentage of current health expenditure (CHE) (%),Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),"Social workers working in mental health sector (per 100,000)",Proportion of women aged 20-24 years who were married or in a union by age 15 (%)
Afghanistan,5.983333333333333,23.35,4.132,0.098,62.0,,0.2,,,0.23,6.3,76.61,22.4,,9.0
Albania,4.170000000000001,26.65,2.542,6.88,17.8,,7.2,23.4,,1.47,32.4,43.166666666666664,28.5,1.06,0.0
Algeria,2.6233333333333335,25.5,3.253,,10.85,,0.9,15.3,7.37,,41.89,30.543333333333333,20.9,,0.0
Angola,12.833333333333334,23.25,5.287,0.66,,,6.9,,,0.057,,34.28333333333333,21.6,0.022,8.0
Antigua and Barbuda,0.3033333333333333,26.65,5.148,7.01,32.53333333333334,,6.4,,,1.0,,27.27333333333333,21.9,4.0,
Argentina,8.283333333333333,27.65,3.476,,59.75,,9.7,15.5,,21.71,,27.113333333333333,20.7,,
Armenia,3.853333333333333,26.3,2.899,11.24,23.333333333333332,,5.6,23.0,3.38,3.84,350.6,82.21,26.8,0.27,0.0
Australia,11.506666666666666,27.1,3.206,90.58,10.766666666666666,,10.5,12.0,7.64,13.53,40.28,18.41,16.9,,
Austria,11.096666666666666,25.55,1.888,,7.166666666666667,,12.0,20.8,,,,19.156666666666666,24.7,,
Azerbaijan,3.94,27.0,2.702,6.72,50.06666666666666,,4.4,16.6,2.5,3.45,162.2,70.21,22.3,0.11,2.0
Bahamas,3.3966666666666665,27.95,4.119,,,,4.8,7.8,,,,27.560000000000002,17.9,,
Bahrain,6.510000000000001,24.8,4.419,27.92,14.033333333333333,,1.1,23.1,,5.47,73.58,28.09,14.0,1.46,
Bangladesh,3.64,21.65,4.029,0.87,95.35,,0.0,33.6,0.44,0.13,1.14,72.93333333333332,20.2,,22.0
Barbados,0.32,27.75,5.787,63.33,,,9.7,4.8,,,424.0,44.45333333333334,26.7,,1.0
Belarus,19.136666666666667,26.6,1.795,,16.099999999999998,,11.5,22.4,,13.5,,29.99,29.1,,0.0
Belgium,14.673333333333332,26.1,1.645,,6.233333333333333,,11.1,19.0,,,424.3,19.156666666666666,19.8,,
Belize,7.083333333333333,29.0,4.639,3.34,66.60000000000001,,6.2,,,1.39,268.4,23.71666666666667,16.4,,3.0
Benin,13.253333333333332,23.5,5.168,,108.0,39.3,2.8,6.3,,,11.32,42.669999999999995,21.3,,7.0
Bhutan,5.116666666666666,23.85,4.18,0.13,,18.2,0.4,,,0.51,,17.743333333333336,21.6,,6.0
Bolivia (Plurinational State of),7.266666666666667,26.5,5.344,,71.0,,4.4,,,1.13,,26.81,13.6,,2.0
Bosnia and Herzegovina,8.176666666666668,25.75,2.205,22.14,10.733333333333334,,7.2,31.1,,8.03,,28.886666666666667,35.4,0.59,0.0
Botswana,23.256666666666664,24.3,4.868,,51.15,,6.6,18.1,,,77.7,3.2933333333333334,22.6,,
Brazil,5.82,26.55,4.552,34.95,57.666666666666664,,7.4,12.2,2.38,3.16,216.3,27.77,20.4,6.61,11.0
Brunei Darussalam,2.42,27.1,5.148,15.09,10.533333333333333,,0.5,12.3,,1.2,2.84,5.12,14.5,0.24,
Bulgaria,6.663333333333334,26.4,2.331,17.74,38.6,,12.7,27.3,1.4,7.2,,43.169999999999995,33.3,0.78,
Burkina Faso,15.15,22.15,5.567,0.63,132.3,,12.0,13.8,,0.039,0.0,33.03,23.7,0.011,10.0
